date,product_name,category,quantity_sold,price
2025-02-26,iPhone Base,Smartphone,7,548.0
2025-02-26,iPhone Pro,Smartphone,14,306.0
2025-02-26,iPhone Ultra,Smartphone,12,587.0
2025-02-26,Galaxy Base,Smartphone,13,2438.0
2025-02-26,Galaxy Pro,Smartphone,13,531.0
2025-02-26,Galaxy Ultra,Smartphone,6,788.0
2025-02-26,Pixel Base,Smartphone,8,819.0
2025-02-26,Pixel Pro,Smartphone,10,2110.0
2025-02-26,Pixel Ultra,Smartphone,4,104.0
2025-02-26,OnePlus Base,Smartphone,4,2183.0
2025-02-26,OnePlus Pro,Smartphone,8,996.0
2025-02-26,OnePlus Ultra,Smartphone,10,1542.0
2025-02-26,Redmi Base,Smartphone,5,544.0
2025-02-26,Redmi Pro,Smartphone,7,350.0
2025-02-26,Redmi Ultra,Smartphone,2,2401.0
2025-02-26,MacBook Base,Laptop,2,1285.0
2025-02-26,MacBook Pro,Laptop,4,147.0
2025-02-26,MacBook Ultra,Laptop,11,2098.0
2025-02-26,XPS Base,Laptop,6,1452.0
2025-02-26,XPS Pro,Laptop,2,675.0
2025-02-26,XPS Ultra,Laptop,6,1159.0
2025-02-26,ThinkPad Base,Laptop,14,755.0
2025-02-26,ThinkPad Pro,Laptop,6,1535.0
2025-02-26,ThinkPad Ultra,Laptop,3,2329.0
2025-02-26,ZenBook Base,Laptop,4,1663.0
2025-02-26,ZenBook Pro,Laptop,9,103.0
2025-02-26,ZenBook Ultra,Laptop,2,1144.0
2025-02-26,Razer Blade Base,Laptop,5,1495.0
2025-02-26,Razer Blade Pro,Laptop,11,1153.0
2025-02-26,Razer Blade Ultra,Laptop,3,1664.0
2025-02-26,iPad Base,Tablet,12,1159.0
2025-02-26,iPad Pro,Tablet,13,1774.0
2025-02-26,iPad Ultra,Tablet,11,672.0
2025-02-26,Galaxy Tab Base,Tablet,4,1505.0
2025-02-26,Galaxy Tab Pro,Tablet,8,607.0
2025-02-26,Galaxy Tab Ultra,Tablet,3,2076.0
2025-02-26,Surface Pro Base,Tablet,7,699.0
2025-02-26,Surface Pro Pro,Tablet,5,1871.0
2025-02-26,Surface Pro Ultra,Tablet,6,1412.0
2025-02-26,Lenovo Tab Base,Tablet,3,993.0
2025-02-26,Lenovo Tab Pro,Tablet,3,306.0
2025-02-26,Lenovo Tab Ultra,Tablet,6,438.0
2025-02-26,Sony,Headphones,13,2032.0
2025-02-26,Bose,Headphones,13,278.0
2025-02-26,AirPods,Headphones,6,365.0
2025-02-26,Sennheiser,Headphones,4,2474.0
2025-02-26,JBL,Headphones,3,2354.0
2025-02-26,Apple Watch,Smartwatch,7,215.0
2025-02-26,Galaxy Watch,Smartwatch,4,309.0
2025-02-26,Garmin,Smartwatch,1,491.0
2025-02-26,Fitbit,Smartwatch,16,2069.0
2025-02-26,Anker,Charger,33,2224.0
2025-02-26,Belkin,Charger,29,1471.0
2025-02-26,Samsung 45W,Charger,28,267.0
2025-02-26,Apple 20W,Charger,50,2127.0
2025-02-26,Silicone Case,Accessory,38,523.0
2025-02-26,USB-C Cable,Accessory,22,287.0
2025-02-26,Screen Protector,Accessory,36,1231.0
2025-02-26,Power Bank,Accessory,27,291.0
2025-02-26,Sony Alpha,Camera,17,2276.0
2025-02-26,Canon EOS,Camera,6,1896.0
2025-02-26,Fujifilm X,Camera,13,1908.0
2025-02-26,Nikon Z,Camera,8,559.0
2025-02-26,Samsung QLED,TV,9,1100.0
2025-02-26,LG OLED,TV,7,1614.0
2025-02-26,Sony Bravia,TV,8,506.0
2025-02-26,TCL MiniLED,TV,2,611.0
